This is testing for fprintf...
Data @ Index 811: 1d92
Data @ Index 812: 290b
Data @ Index 813: 3481
Data @ Index 814: 3b54
Data @ Index 815: 37a7
Data @ Index 816: 2f44
Data @ Index 817: 2797
Data @ Index 818: 1eeb
Data @ Index 819: 1657
Data @ Index 820: d69
Data @ Index 821: 442
Data @ Index 822: fae0
Data @ Index 823: f005
Data @ Index 824: ea09
Data @ Index 825: e7e7
Data @ Index 826: e65d
Data @ Index 827: e511
Data @ Index 828: e402
Data @ Index 829: e34c
Data @ Index 830: e146
Data @ Index 831: dfcc
Data @ Index 832: ddc2
Data @ Index 833: dbcb
Data @ Index 834: dbb1
Data @ Index 835: ded7
Data @ Index 836: e734
Data @ Index 837: f047
Data @ Index 838: f9d0
Data @ Index 839: 451
Data @ Index 840: dba
Data @ Index 841: 17c6
Data @ Index 842: 231a
Data @ Index 843: 314a
Data @ Index 844: 3a12
Data @ Index 845: 38e2
Data @ Index 846: 337f
Data @ Index 847: 2be0
Data @ Index 848: 2415
Data @ Index 849: 1ab9
Data @ Index 850: 11ca
Data @ Index 851: a38
Data @ Index 852: 6e
Data @ Index 853: f54e
Data @ Index 854: ecde
Data @ Index 855: e94b
Data @ Index 856: e7b0
Data @ Index 857: e549
Data @ Index 858: e4ad
Data @ Index 859: e408
Data @ Index 860: e2da
Data @ Index 861: e03d
Data @ Index 862: df0d
Data @ Index 863: deba
Data @ Index 864: db87
Data @ Index 865: daa3
Data @ Index 866: e060
Data @ Index 867: e96e
Data @ Index 868: f331
Data @ Index 869: fb68
Data @ Index 870: 51d
Data @ Index 871: f88
Data @ Index 872: 1a0e
Data @ Index 873: 253a
Data @ Index 874: 3121
Data @ Index 875: 3a53
Data @ Index 876: 3903
Data @ Index 877: 330b
Data @ Index 878: 2b6b
Data @ Index 879: 2314
Data @ Index 880: 1add
Data @ Index 881: 122d
Data @ Index 882: a22
Data @ Index 883: 86
Data @ Index 884: f60f
Data @ Index 885: ed64
Data @ Index 886: e8f2
Data @ Index 887: e75b
Data @ Index 888: e5af
Data @ Index 889: e498
Data @ Index 890: e383
Data @ Index 891: e1c6
Data @ Index 892: e087
Data @ Index 893: df36
Data @ Index 894: de28
Data @ Index 895: dc5c
Data @ Index 896: db27
Data @ Index 897: dfd7
Data @ Index 898: e821
Data @ Index 899: f0b5
Data @ Index 900: f9b8
Data @ Index 901: 34d
Data @ Index 902: dc6
Data @ Index 903: 177f
Data @ Index 904: 21ed
Data @ Index 905: 2d29
Data @ Index 906: 378c
Data @ Index 907: 3b0a
Data @ Index 908: 3577
Data @ Index 909: 2df6
Data @ Index 910: 2643
Data @ Index 911: 1e8c
Data @ Index 912: 1656
Data @ Index 913: dd5
Data @ Index 914: 4ef
Data @ Index 915: fb3f
Data @ Index 916: f16c
Data @ Index 917: ea3d
Data @ Index 918: e76a
Data @ Index 919: e60d
Data @ Index 920: e4b1
Data @ Index 921: e358
Data @ Index 922: e20d
Data @ Index 923: e05c
